household_id,crop_code,crop_name,household_size,region_code,is_rural,survey_year,region_name,rainfall_belg_mm,rainfall_belg_pct_of_avg,rainfall_meher_mm,rainfall_meher_pct_of_avg,loss_occurred
1010201403061,6.0,SORGHUM,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403061,7.0,TEFF,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010201403061,11.0,CHICK PEAS,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403061,13.0,HORSE BEANS,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403061,38.0,RED PEPPER,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403091,2.0,MAIZE,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403091,3.0,MILLET,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403091,5.0,RICE,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403091,6.0,SORGHUM,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403091,7.0,TEFF,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403091,11.0,CHICK PEAS,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403091,38.0,RED PEPPER,8.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403106,2.0,MAIZE,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403106,3.0,MILLET,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403106,6.0,SORGHUM,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403106,7.0,TEFF,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403106,38.0,RED PEPPER,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403136,2.0,MAIZE,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403136,7.0,TEFF,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403136,38.0,RED PEPPER,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010300106052,2.0,MAIZE,4.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010300106052,48.0,PAPAYA,4.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010300106076,66.0,PEACH,5.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010300106076,-1,UNKNOWN,5.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010300106112,-1,UNKNOWN,3.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010300106136,2.0,MAIZE,9.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010300106136,3.0,MILLET,9.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010300106136,7.0,TEFF,9.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,1
1010300106136,75.0,GESHO,9.0,1.0,0.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804004,2.0,MAIZE,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804004,3.0,MILLET,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804004,7.0,TEFF,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804004,13.0,HORSE BEANS,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804004,38.0,RED PEPPER,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804019,2.0,MAIZE,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804019,3.0,MILLET,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804019,7.0,TEFF,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804019,38.0,RED PEPPER,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804019,75.0,GESHO,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804034,2.0,MAIZE,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
